Filename, RDD, TF, Size, Dynamic-runtime, Dynamic-tardiness, Approx-e=0.1-runtime, Approx-e=0.1-tardiness, Approx-e=0.2-runtime, Approx-e=0.2-tardiness, Approx-e=0.3-runtime, Approx-e=0.3-tardiness, Greedy-runtime, Greedy-tardiness, BestFirst-runtime, BestFirst-tardiness
random_RDD=0.2_TF=0.2_#5.dat, 0.2, 0.2, 5, 0, 44, 0, 44, 0, 44, 0, 44, 0, 44, 0, 44
random_RDD=0.2_TF=0.2_#10.dat, 0.2, 0.2, 10, 0, 74, 0, 74, 0, 74, 0, 74, 0, 74, 4525, 74
random_RDD=0.2_TF=0.2_#15.dat, 0.2, 0.2, 15, 0, 60, 0, 60, 0, 60, 0, 60, 0, 60, NaN, NaN
random_RDD=0.2_TF=0.2_#20.dat, 0.2, 0.2, 20, 0, 236, 0, 236, 0, 236, 0, 236, 0, 528, NaN, NaN
random_RDD=0.2_TF=0.2_#25.dat, 0.2, 0.2, 25, 0, 322, 0, 322, 0, 322, 0, 322, 0, 322, NaN, NaN
random_RDD=0.2_TF=0.2_#30.dat, 0.2, 0.2, 30, 13, 339, 13, 339, 13, 339, 13, 339, 0, 504, NaN, NaN
random_RDD=0.2_TF=0.2_#35.dat, 0.2, 0.2, 35, 41, 434, 72, 434, 72, 434, 62, 434, 0, 636, NaN, NaN
random_RDD=0.2_TF=0.2_#40.dat, 0.2, 0.2, 40, 16, 433, 31, 433, 31, 433, 31, 433, 0, 542, NaN, NaN
random_RDD=0.2_TF=0.2_#45.dat, 0.2, 0.2, 45, 45, 653, 61, 653, 61, 653, 61, 653, 0, 877, NaN, NaN
random_RDD=0.2_TF=0.2_#50.dat, 0.2, 0.2, 50, 62, 599, 81, 599, 78, 599, 81, 599, 0, 846, NaN, NaN
random_RDD=0.2_TF=0.2_#55.dat, 0.2, 0.2, 55, 479, 625, 795, 625, 750, 625, 703, 625, 0, 1040, NaN, NaN
random_RDD=0.2_TF=0.2_#60.dat, 0.2, 0.2, 60, 502, 865, 683, 865, 699, 865, 714, 865, 0, 1079, NaN, NaN
random_RDD=0.2_TF=0.2_#65.dat, 0.2, 0.2, 65, 3400, 1068, 4205, 1068, 4130, 1068, 4776, 1068, 0, 1424, NaN, NaN
random_RDD=0.2_TF=0.2_#70.dat, 0.2, 0.2, 70, 1778, 1086, 3376, 1086, 3361, 1086, 3087, 1086, 0, 1329, NaN, NaN
random_RDD=0.2_TF=0.2_#75.dat, 0.2, 0.2, 75, 1839, 1252, 2536, 1252, 2474, 1252, 2536, 1252, 0, 2073, NaN, NaN
random_RDD=0.2_TF=0.2_#80.dat, 0.2, 0.2, 80, 4569, 1770, 8828, 1770, 8828, 1770, 8667, 1770, 0, 2995, NaN, NaN
random_RDD=0.2_TF=0.4_#5.dat, 0.2, 0.4, 5, 0, 198, 0, 198, 0, 198, 0, 198, 0, 203, 0, 198
random_RDD=0.2_TF=0.4_#10.dat, 0.2, 0.4, 10, 0, 216, 0, 216, 0, 216, 0, 216, 0, 484, 4263, 216
random_RDD=0.2_TF=0.4_#15.dat, 0.2, 0.4, 15, 0, 654, 0, 654, 0, 654, 0, 654, 0, 841, NaN, NaN
random_RDD=0.2_TF=0.4_#20.dat, 0.2, 0.4, 20, 0, 1066, 0, 1067, 0, 1067, 0, 1067, 0, 2294, NaN, NaN
random_RDD=0.2_TF=0.4_#25.dat, 0.2, 0.4, 25, 16, 1148, 16, 1148, 16, 1148, 0, 1148, 0, 1808, NaN, NaN
random_RDD=0.2_TF=0.4_#30.dat, 0.2, 0.4, 30, 0, 1183, 0, 1183, 0, 1183, 15, 1183, 0, 2536, NaN, NaN
random_RDD=0.2_TF=0.4_#35.dat, 0.2, 0.4, 35, 0, 2698, 0, 2698, 0, 2698, 0, 2701, 0, 4093, NaN, NaN
random_RDD=0.2_TF=0.4_#40.dat, 0.2, 0.4, 40, 32, 3475, 50, 3475, 32, 3475, 50, 3475, 0, 5818, NaN, NaN
random_RDD=0.2_TF=0.4_#45.dat, 0.2, 0.4, 45, 72, 3860, 88, 3860, 72, 3860, 72, 3863, 0, 5629, NaN, NaN
random_RDD=0.2_TF=0.4_#50.dat, 0.2, 0.4, 50, 273, 4986, 350, 4986, 350, 4986, 350, 4986, 0, 7145, NaN, NaN
random_RDD=0.2_TF=0.4_#55.dat, 0.2, 0.4, 55, 210, 6295, 288, 6295, 288, 6295, 272, 6298, 0, 10467, NaN, NaN
random_RDD=0.2_TF=0.4_#60.dat, 0.2, 0.4, 60, 802, 7098, 1197, 7098, 1130, 7098, 1045, 7098, 0, 10792, NaN, NaN
random_RDD=0.2_TF=0.4_#65.dat, 0.2, 0.4, 65, 1677, 8743, 2144, 8743, 2097, 8743, 2037, 8743, 0, 13323, NaN, NaN
random_RDD=0.2_TF=0.4_#70.dat, 0.2, 0.4, 70, 4579, 9468, 10405, 9468, 10247, 9468, 10279, 9468, 0, 18690, NaN, NaN
random_RDD=0.2_TF=0.4_#75.dat, 0.2, 0.4, 75, 4230, 10596, 6130, 10596, 5928, 10596, 6086, 10596, 0, 15153, NaN, NaN
random_RDD=0.2_TF=0.4_#80.dat, 0.2, 0.4, 80, 8996, 13727, 18237, 13727, 16262, 13727, 16247, 13730, 0, 23320, NaN, NaN
random_RDD=0.2_TF=0.6_#5.dat, 0.2, 0.6, 5, 0, 140, 0, 140, 0, 140, 0, 140, 0, 247, 0, 140
random_RDD=0.2_TF=0.6_#10.dat, 0.2, 0.6, 10, 0, 889, 0, 889, 0, 889, 0, 889, 0, 1038, 5479, 889
random_RDD=0.2_TF=0.6_#15.dat, 0.2, 0.6, 15, 0, 1200, 0, 1201, 0, 1201, 0, 1201, 0, 1918, NaN, NaN
random_RDD=0.2_TF=0.6_#20.dat, 0.2, 0.6, 20, 0, 1570, 0, 1570, 0, 1570, 0, 1575, 0, 3317, NaN, NaN
random_RDD=0.2_TF=0.6_#25.dat, 0.2, 0.6, 25, 0, 2903, 0, 2903, 0, 2903, 0, 2903, 0, 4725, NaN, NaN
random_RDD=0.2_TF=0.6_#30.dat, 0.2, 0.6, 30, 15, 5043, 15, 5043, 15, 5043, 15, 5043, 0, 8621, NaN, NaN
random_RDD=0.2_TF=0.6_#35.dat, 0.2, 0.6, 35, 16, 6999, 16, 6999, 16, 7004, 16, 7004, 0, 12340, NaN, NaN
random_RDD=0.2_TF=0.6_#40.dat, 0.2, 0.6, 40, 16, 10476, 31, 10476, 31, 10476, 31, 10476, 0, 17134, NaN, NaN
random_RDD=0.2_TF=0.6_#45.dat, 0.2, 0.6, 45, 93, 10957, 93, 10962, 93, 10962, 109, 10962, 0, 19303, NaN, NaN
random_RDD=0.2_TF=0.6_#50.dat, 0.2, 0.6, 50, 69, 12814, 100, 12814, 100, 12814, 100, 12814, 0, 20804, NaN, NaN
random_RDD=0.2_TF=0.6_#55.dat, 0.2, 0.6, 55, 31, 16069, 63, 16069, 63, 16069, 63, 16069, 0, 22140, NaN, NaN
random_RDD=0.2_TF=0.6_#60.dat, 0.2, 0.6, 60, 294, 20883, 510, 20883, 539, 20883, 529, 20883, 0, 30969, NaN, NaN
random_RDD=0.2_TF=0.6_#65.dat, 0.2, 0.6, 65, 543, 20665, 804, 20665, 836, 20669, 789, 20669, 0, 32287, NaN, NaN
random_RDD=0.2_TF=0.6_#70.dat, 0.2, 0.6, 70, 2425, 22136, 3067, 22136, 3444, 22136, 3038, 22136, 118, 44392, NaN, NaN
random_RDD=0.2_TF=0.6_#75.dat, 0.2, 0.6, 75, 1550, 31566, 4024, 31566, 4035, 31566, 4061, 31582, 0, 48694, NaN, NaN
random_RDD=0.2_TF=0.6_#80.dat, 0.2, 0.6, 80, 1204, 32477, 2052, 32478, 2130, 32478, 1913, 32478, 0, 52211, NaN, NaN
random_RDD=0.2_TF=0.8_#5.dat, 0.2, 0.8, 5, 0, 396, 0, 396, 0, 396, 0, 396, 0, 607, 0, 396
random_RDD=0.2_TF=0.8_#10.dat, 0.2, 0.8, 10, 0, 1569, 0, 1569, 0, 1569, 0, 1569, 0, 2029, 5392, 1569
random_RDD=0.2_TF=0.8_#15.dat, 0.2, 0.8, 15, 0, 2590, 0, 2590, 0, 2590, 0, 2590, 0, 3523, NaN, NaN
random_RDD=0.2_TF=0.8_#20.dat, 0.2, 0.8, 20, 0, 4999, 0, 4999, 0, 4999, 0, 5002, 0, 7529, NaN, NaN
random_RDD=0.2_TF=0.8_#25.dat, 0.2, 0.8, 25, 0, 5896, 0, 5896, 0, 5896, 0, 5896, 0, 8933, NaN, NaN
random_RDD=0.2_TF=0.8_#30.dat, 0.2, 0.8, 30, 0, 13769, 0, 13771, 0, 13771, 0, 13771, 0, 17167, NaN, NaN
random_RDD=0.2_TF=0.8_#35.dat, 0.2, 0.8, 35, 0, 10768, 10, 10768, 10, 10768, 0, 10768, 0, 19493, NaN, NaN
random_RDD=0.2_TF=0.8_#40.dat, 0.2, 0.8, 40, 0, 16005, 0, 16005, 15, 16005, 15, 16007, 0, 29078, NaN, NaN
random_RDD=0.2_TF=0.8_#45.dat, 0.2, 0.8, 45, 0, 23477, 0, 23477, 0, 23477, 16, 23477, 0, 36111, NaN, NaN
random_RDD=0.2_TF=0.8_#50.dat, 0.2, 0.8, 50, 0, 25834, 0, 25835, 16, 25835, 0, 25835, 0, 38607, NaN, NaN
random_RDD=0.2_TF=0.8_#55.dat, 0.2, 0.8, 55, 76, 37149, 107, 37149, 107, 37149, 107, 37150, 0, 58550, NaN, NaN
random_RDD=0.2_TF=0.8_#60.dat, 0.2, 0.8, 60, 47, 36349, 117, 36349, 117, 36349, 117, 36349, 0, 58136, NaN, NaN
random_RDD=0.2_TF=0.8_#65.dat, 0.2, 0.8, 65, 63, 47499, 110, 47499, 110, 47502, 123, 47510, 0, 74719, NaN, NaN
random_RDD=0.2_TF=0.8_#70.dat, 0.2, 0.8, 70, 257, 42997, 390, 42997, 374, 43003, 390, 43003, 0, 77056, NaN, NaN
random_RDD=0.2_TF=0.8_#75.dat, 0.2, 0.8, 75, 75, 54048, 122, 54048, 122, 54048, 106, 54048, 0, 81979, NaN, NaN
random_RDD=0.2_TF=0.8_#80.dat, 0.2, 0.8, 80, 387, 62435, 591, 62436, 676, 62436, 723, 62436, 0, 98265, NaN, NaN
random_RDD=0.2_TF=1.0_#5.dat, 0.2, 1.0, 5, 0, 419, 0, 419, 0, 419, 0, 419, 0, 546, 0, 419
random_RDD=0.2_TF=1.0_#10.dat, 0.2, 1.0, 10, 0, 1921, 0, 1921, 0, 1921, 0, 1921, 0, 2715, 5382, 1921
random_RDD=0.2_TF=1.0_#15.dat, 0.2, 1.0, 15, 0, 3944, 0, 3944, 0, 3944, 0, 3946, 0, 6022, NaN, NaN
random_RDD=0.2_TF=1.0_#20.dat, 0.2, 1.0, 20, 0, 7032, 0, 7032, 0, 7032, 0, 7032, 0, 9947, NaN, NaN
random_RDD=0.2_TF=1.0_#25.dat, 0.2, 1.0, 25, 0, 11344, 0, 11344, 0, 11344, 0, 11344, 0, 15109, NaN, NaN
random_RDD=0.2_TF=1.0_#30.dat, 0.2, 1.0, 30, 0, 12864, 0, 12864, 0, 12864, 0, 12864, 0, 21418, NaN, NaN
random_RDD=0.2_TF=1.0_#35.dat, 0.2, 1.0, 35, 0, 22558, 16, 22558, 16, 22558, 0, 22558, 0, 28298, NaN, NaN
random_RDD=0.2_TF=1.0_#40.dat, 0.2, 1.0, 40, 0, 33256, 0, 33256, 0, 33256, 0, 33256, 0, 46494, NaN, NaN
random_RDD=0.2_TF=1.0_#45.dat, 0.2, 1.0, 45, 0, 36891, 0, 36891, 0, 36891, 0, 36891, 0, 52120, NaN, NaN
random_RDD=0.2_TF=1.0_#50.dat, 0.2, 1.0, 50, 0, 43331, 0, 43331, 0, 43331, 0, 43331, 0, 65372, NaN, NaN
random_RDD=0.2_TF=1.0_#55.dat, 0.2, 1.0, 55, 0, 53067, 0, 53067, 0, 53067, 0, 53067, 0, 80156, NaN, NaN
random_RDD=0.2_TF=1.0_#60.dat, 0.2, 1.0, 60, 0, 47152, 0, 47152, 0, 47152, 0, 47153, 0, 75331, NaN, NaN
random_RDD=0.2_TF=1.0_#65.dat, 0.2, 1.0, 65, 0, 77220, 0, 77220, 0, 77220, 0, 77220, 0, 115588, NaN, NaN
random_RDD=0.2_TF=1.0_#70.dat, 0.2, 1.0, 70, 0, 87288, 0, 87288, 0, 87288, 0, 87288, 0, 124285, NaN, NaN
random_RDD=0.2_TF=1.0_#75.dat, 0.2, 1.0, 75, 0, 84307, 0, 84307, 0, 84309, 0, 84309, 0, 128269, NaN, NaN
random_RDD=0.2_TF=1.0_#80.dat, 0.2, 1.0, 80, 0, 114361, 0, 114361, 0, 114361, 0, 114372, 0, 173268, NaN, NaN
random_RDD=0.4_TF=0.2_#5.dat, 0.4, 0.2, 5, 0, 45, 0, 45, 0, 45, 0, 45, 0, 47, 0, 45
random_RDD=0.4_TF=0.2_#10.dat, 0.4, 0.2, 10, 0, 52, 0, 52, 0, 52, 0, 52, 0, 52, 3897, 52
random_RDD=0.4_TF=0.2_#15.dat, 0.4, 0.2, 15, 0, 24, 0, 24, 0, 24, 0, 24, 0, 27, NaN, NaN
random_RDD=0.4_TF=0.2_#20.dat, 0.4, 0.2, 20, 0, 24, 0, 24, 0, 24, 0, 24, 0, 26, NaN, NaN
random_RDD=0.4_TF=0.2_#25.dat, 0.4, 0.2, 25, 0, 57, 0, 57, 0, 57, 0, 57, 0, 57, NaN, NaN
random_RDD=0.4_TF=0.2_#30.dat, 0.4, 0.2, 30, 0, 223, 0, 223, 0, 223, 0, 224, 0, 283, NaN, NaN
random_RDD=0.4_TF=0.2_#35.dat, 0.4, 0.2, 35, 16, 14, 20, 14, 20, 14, 20, 14, 0, 14, NaN, NaN
random_RDD=0.4_TF=0.2_#40.dat, 0.4, 0.2, 40, 10, 8, 26, 8, 26, 8, 26, 8, 0, 8, NaN, NaN
random_RDD=0.4_TF=0.2_#45.dat, 0.4, 0.2, 45, 78, 9, 106, 9, 106, 9, 116, 9, 0, 9, NaN, NaN
random_RDD=0.4_TF=0.2_#50.dat, 0.4, 0.2, 50, 32, 46, 47, 46, 63, 46, 47, 46, 0, 46, NaN, NaN
random_RDD=0.4_TF=0.2_#55.dat, 0.4, 0.2, 55, 398, 36, 570, 36, 580, 36, 568, 36, 0, 49, NaN, NaN
random_RDD=0.4_TF=0.2_#60.dat, 0.4, 0.2, 60, 497, 12, 613, 12, 657, 12, 629, 12, 0, 12, NaN, NaN
random_RDD=0.4_TF=0.2_#65.dat, 0.4, 0.2, 65, 3107, 82, 5006, 82, 4929, 82, 4507, 82, 0, 106, NaN, NaN
random_RDD=0.4_TF=0.2_#70.dat, 0.4, 0.2, 70, 1806, 5, 2409, 5, 2451, 5, 2786, 5, 0, 5, NaN, NaN
random_RDD=0.4_TF=0.2_#75.dat, 0.4, 0.2, 75, 2085, 52, 4041, 52, 4104, 52, 4132, 52, 0, 52, NaN, NaN
random_RDD=0.4_TF=0.2_#80.dat, 0.4, 0.2, 80, 8167, 10, 14138, 10, 14067, 10, 9633, 10, 0, 10, NaN, NaN
random_RDD=0.4_TF=0.4_#5.dat, 0.4, 0.4, 5, 0, 66, 0, 66, 0, 66, 0, 66, 0, 66, 0, 66
random_RDD=0.4_TF=0.4_#10.dat, 0.4, 0.4, 10, 0, 185, 0, 185, 0, 185, 0, 185, 0, 221, 3833, 185
random_RDD=0.4_TF=0.4_#15.dat, 0.4, 0.4, 15, 0, 476, 0, 476, 0, 477, 0, 477, 0, 629, NaN, NaN
random_RDD=0.4_TF=0.4_#20.dat, 0.4, 0.4, 20, 0, 364, 0, 364, 0, 364, 0, 364, 0, 578, NaN, NaN
random_RDD=0.4_TF=0.4_#25.dat, 0.4, 0.4, 25, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1399, NaN, NaN
random_RDD=0.4_TF=0.4_#30.dat, 0.4, 0.4, 30, 0, 754, 0, 754, 0, 754, 0, 754, 0, 1355, NaN, NaN
random_RDD=0.4_TF=0.4_#35.dat, 0.4, 0.4, 35, 16, 1610, 16, 1610, 16, 1610, 16, 1610, 0, 2050, NaN, NaN
