Filename, RDD, TF, Size, Dynamic-runtime, Dynamic-tardiness, Approx-e=0.1-runtime, Approx-e=0.1-tardiness, Approx-e=0.2-runtime, Approx-e=0.2-tardiness, Approx-e=0.3-runtime, Approx-e=0.3-tardiness, Greedy-runtime, Greedy-tardiness, BestFirst-runtime, BestFirst-tardiness
random_RDD=0.2_TF=0.2_#5.dat, 0.2, 0.2, 5, 0, 44, 0, 44, 0, 44, 0, 44, 0, 44, 0, 44
random_RDD=0.2_TF=0.2_#10.dat, 0.2, 0.2, 10, 0, 74, 0, 74, 0, 74, 0, 74, 0, 74, 4457, 74
random_RDD=0.2_TF=0.2_#15.dat, 0.2, 0.2, 15, 0, 60, 0, 60, 0, 60, 0, 60, 0, 60, NaN, NaN
random_RDD=0.2_TF=0.2_#20.dat, 0.2, 0.2, 20, 0, 236, 0, 236, 0, 236, 0, 236, 0, 528, NaN, NaN
random_RDD=0.2_TF=0.2_#25.dat, 0.2, 0.2, 25, 0, 322, 15, 322, 15, 322, 15, 322, 0, 322, NaN, NaN
random_RDD=0.2_TF=0.2_#30.dat, 0.2, 0.2, 30, 0, 339, 0, 339, 0, 339, 0, 339, 0, 504, NaN, NaN
random_RDD=0.2_TF=0.2_#35.dat, 0.2, 0.2, 35, 47, 434, 75, 434, 65, 434, 75, 434, 0, 636, NaN, NaN
random_RDD=0.2_TF=0.2_#40.dat, 0.2, 0.2, 40, 16, 433, 16, 433, 16, 433, 16, 433, 0, 542, NaN, NaN
random_RDD=0.2_TF=0.2_#45.dat, 0.2, 0.2, 45, 47, 653, 46, 653, 46, 653, 46, 653, 0, 877, NaN, NaN
random_RDD=0.2_TF=0.2_#50.dat, 0.2, 0.2, 50, 45, 599, 92, 599, 76, 599, 76, 599, 0, 846, NaN, NaN
random_RDD=0.2_TF=0.2_#55.dat, 0.2, 0.2, 55, 502, 625, 810, 625, 748, 625, 719, 625, 0, 1040, NaN, NaN
random_RDD=0.2_TF=0.2_#60.dat, 0.2, 0.2, 60, 477, 865, 687, 865, 687, 865, 687, 865, 0, 1079, NaN, NaN
random_RDD=0.2_TF=0.2_#65.dat, 0.2, 0.2, 65, 2678, 1068, 4576, 1068, 4494, 1068, 5082, 1068, 0, 1424, NaN, NaN
